tank_ID,abalone_number,abalone_full_label,umol.L.sec,block,size_class,treatment,weight,chamber.channel,temp,period,umol.gram.hr,Rate.ln
18,29,ab29_amb_channel7_trial8_final_12_12_20_O2,-0.007949076,C8,30,amb,0.591003,7,17.5,final ,27265.93547,10.21339708
7,3,ab3_amb_channel1_trial7_final_12_12_20_O2,-0.021713683,C7,30,amb,1.132806,1,17.5,final ,41391.76822,10.63083972
18,30,ab30_amb_channel10_trial3_final_12_11_20_O2,-0.014051894,C3,30,amb,0.805095,10,17.5,final ,38951.30629,10.57007016
5,31,ab31_amb_channel10_trial6_final_12_12_20_O2,-0.044627294,C6,60,amb,3.209874,10,17.5,final ,30429.1339,10.32315907
9,33,ab33_amb_channel3_trial7_final_12_12_20_O2,-0.032661163,C7,60,amb,2.792958,3,17.5,final ,25073.85929,10.12958511
5,34,ab34_amb_channel2_trial8_final_12_12_20_O2,-0.02624794,C8,60,amb,3.177948,2,17.5,final ,17437.0779,9.766359867
11,35,ab35_amb_channel4_trial8_final_12_12_20_O2,-0.028046604,C8,60,amb,2.846481,4,17.5,final ,21025.75303,9.953508056
5,36,ab36_amb_channel6_trial6_final_12_12_20_O2,-0.038869214,C6,60,amb,2.356323,6,17.5,final ,35685.14163,10.48249248
9,37,ab37_amb_channel6_trial3_final_12_11_20_O2,-0.037763136,C3,60,amb,3.155412,6,17.5,final ,26184.58297,10.1729299
17,39,ab39_hw_channel9_trial1_final_12_11_20_O2,-0.02158778,C1,60,hw,2.356323,9,17.5,final ,20317.9561,9.919265233
16,40,ab40_hw_channel4_trial1_final_12_11_20_O2,-0.029451023,C1,60,hw,2.70657,4,17.5,final ,23927.69285,10.08279594
16,41,ab41_hw_channel7_trial2_final_12_11_20_O2,-0.033004527,C2,60,hw,2.792958,7,17.5,final ,25793.18596,10.1578695
5,42,ab42_amb_channel9_trial3_final_12_11_20_O2,-0.048731088,C3,60,amb,3.337578,9,17.5,final ,31797.15842,10.36713535
16,43,ab43_hw_channel9_trial5_final_12_12_20_O2,-0.038081263,C5,60,hw,3.031464,9,17.5,final ,27775.23967,10.23190384
9,46,ab46_amb_channel4_trial4_final_12_11_20_O2,-0.036113642,C4,60,amb,3.509415,4,17.5,final ,22461.81407,10.01957645
11,47,ab47_amb_channel10_trial7_final_12_12_20_O2,-0.043766218,C7,60,amb,3.972342,10,17.5,final ,23639.52638,10.07067967
9,48,ab48_amb_channel5_trial4_final_12_11_20_O2,-0.034388677,C4,60,amb,2.709387,5,17.5,final ,27737.33888,10.23053836
11,49,ab49_amb_channel4_trial7_final_12_12_20_O2,-0.045750166,C7,60,amb,3.473733,4,17.5,final ,27946.75393,10.23805991
14,5,ab5_amb_channel10_trial8_final_12_12_20_O2,-0.010377414,C8,30,amb,0.774108,10,17.5,final ,28135.47586,10.2447901
9,50,ab50_amb_channel1_trial6_final_12_12_20_O2,-0.050386364,C6,60,amb,4.215543,1,17.5,final ,25463.05888,10.14498794
17,52,ab52_hw_channel6_trial5_final_12_12_20_O2,-0.029925006,C5,60,hw,2.818311,6,17.5,final ,23506.78035,10.06504844
16,55,ab55_hw_channel10_trial1_final_12_11_20_O2,-0.034991039,C1,60,hw,3.083109,10,17.5,final ,25052.5099,10.12873329
11,56,ab56_amb_channel5_trial3_final_12_11_20_O2,-0.037266745,C3,60,amb,3.183582,5,17.5,final ,25482.37496,10.14574624
11,57,ab57_amb_channel9_trial8_final_12_12_20_O2,-0.035114591,C8,60,amb,3.081231,9,17.5,final ,24518.77457,10.10719849
5,59,ab59_amb_channel1_trial4_final_12_11_20_O2,-0.03866327,C4,60,amb,3.099072,1,17.5,final ,27113.79573,10.20780163
18,6,ab6_amb_channel8_trial3_final_12_11_20_O2,-0.020229914,C3,30,amb,1.113087,8,17.5,final ,40579.85066,10.6110294
16,60,ab60_hw_channel4_trial5_final_12_12_20_O2,-0.025435609,C5,60,hw,2.268057,4,17.5,final ,24981.73698,10.12590432
20,62,ab62_amb_channel3_trial4_final_12_11_20_O2,-0.053814663,C4,90,amb,7.967787,3,17.5,final ,13790.9902,9.531778025
10,63,ab63_amb_channel5_trial8_final_12_12_20_O2,-0.034942901,C8,90,amb,7.450398,5,17.5,final ,9515.211301,9.160657496
10,64,ab64_amb_channel6_trial7_final_12_12_20_O2,-0.051621025,C7,90,amb,6.681357,6,17.5,final ,16007.51838,9.680820037
3,66,ab66_amb_channel2_trial6_final_12_12_20_O2,-0.067976518,C6,90,amb,7.412838,2,17.5,final ,18631.45471,9.832611912
3,68,ab68_amb_channel2_trial3_final_12_11_20_O2,-0.043468815,C3,90,amb,7.27011,2,17.5,final ,12171.13187,9.406830403
3,69,ab69_amb_channel2_trial7_final_12_12_20_O2,-0.042773692,C7,90,amb,7.717074,2,17.5,final ,12027.47125,9.394956898
18,7,ab7_amb_channel1_trial8_final_12_12_20_O2,-0.012953932,C8,30,amb,0.745938,1,17.5,final ,36656.3682,10.50934518
19,70,ab70_hw_channel7_trial5_final_12_12_20_O2,-0.046491292,C5,90,hw,7.363071,7,17.5,final ,13054.97363,9.476932121
19,71,ab71_hw_channel8_trial1_final_12_11_20_O2,-0.04040568,C1,90,hw,7.882338,8,17.5,final ,10618.69418,9.270380746
20,73,ab73_amb_channel8_trial8_final_12_12_20_O2,-0.023667007,C8,90,amb,8.116149,8,17.5,final ,5796.817165,8.665081532
3,74,ab74_amb_channel4_trial6_final_12_12_20_O2,-0.064504553,C6,90,amb,8.005347,4,17.5,final ,16596.12177,9.716930344
19,75,ab75_hw_channel5_trial1_final_12_11_20_O2,-0.065452889,C1,90,hw,8.073894,5,17.5,final ,16489.72174,9.710498605
3,76,ab76_amb_channel2_trial4_final_12_11_20_O2,-0.042267069,C4,90,amb,7.753695,2,17.5,final ,11051.49934,9.310330433
10,79,ab79_amb_channel7_trial3_final_12_11_20_O2,-0.062246261,C3,90,amb,7.207197,7,17.5,final ,17996.70877,9.79794973
15,8,ab8_hw_channel10_trial2_final_12_11_20_O2,-0.01456179,C2,30,hw,1.068015,10,17.5,final ,30227.5323,10.31651176
10,81,ab81_amb_channel8_trial4_final_12_11_20_O2,-0.068291581,C4,90,amb,7.446642,8,17.5,final ,18884.46163,9.846100022
19,82,ab82_hw_channel8_trial5_final_12_12_20_O2,-0.046656347,C5,90,hw,7.503921,8,17.5,final ,12900.22738,9.465007968
20,83,ab83_amb_channel3_trial8_final_12_12_20_O2,-0.01910749,C8,90,amb,7.391241,3,17.5,final ,5097.712295,8.536566765
19,84,ab84_hw_channel2_trial1_final_12_11_20_O2,-0.058233132,C1,90,hw,7.497348,2,17.5,final ,15627.85309,9.656816455
20,85,ab85_amb_channel5_trial7_final_12_12_20_O2,-0.045097121,C7,90,amb,7.806279,5,17.5,final ,11798.14881,9.375706393
10,87,ab87_amb_channel5_trial6_final_12_12_20_O2,-0.056054164,C6,90,amb,7.830693,5,17.5,final ,14853.54374,9.606000484
20,88,ab88_amb_channel1_trial3_final_12_11_20_O2,-0.069623237,C3,90,amb,8.515224,1,17.5,final ,16517.53119,9.712183646
14,9,ab9_amb_channel8_trial6_final_12_12_20_O2,-0.010197073,C6,30,amb,0.574101,8,17.5,final ,38697.15345,10.56352391
