period,abalone_ID,weight,shell_length_mm,shell_length_cm,denominator,CI,size_class,treatment,tank_ID
posthw,12,9.8,41.62,4.162,72.09517953,1.36E-01,30,amb,18
posthw,14,6.87,37.77,3.777,53.88165843,1.28E-01,30,amb,14
posthw,17,4.71,33.56,3.356,37.79774202,1.25E-01,30,hw,15
posthw,18,9.41,40.17,4.017,64.81947291,1.45E-01,30,amb,14
posthw,19,4.99,32.59,3.259,34.61410298,1.44E-01,30,amb,7
posthw,20,9.14,40.99,4.099,68.8705823,1.33E-01,30,hw,8
posthw,21,5.15,34.5,3.45,41.063625,1.25E-01,30,amb,7
posthw,22,9.25,40.46,4.046,66.23348934,1.40E-01,30,hw,15
posthw,23,4.54,33.68,3.368,38.20465203,1.19E-01,30,hw,8
posthw,24,9.79,41.06,4.106,69.22402302,1.41E-01,30,hw,15
posthw,25,6.96,35.36,3.536,44.21165466,1.57E-01,30,amb,14
posthw,26,8.54,39.71,3.971,62.61806761,1.36E-01,30,amb,7
posthw,27,5.82,35.9,3.59,46.268279,1.26E-01,30,amb,7
posthw,29,5.31,34.06,3.406,39.51244742,1.34E-01,30,amb,18
posthw,30,7.15,36.41,3.641,48.26830372,1.48E-01,30,amb,18
posthw,31,32.01,64.16,6.416,264.1149993,1.21E-01,60,amb,5
posthw,33,27.82,62.03,6.203,238.6741274,1.17E-01,60,amb,9
posthw,34,31.29,67.72,6.772,310.5638116,1.01E-01,60,amb,5
posthw,35,27.82,60.81,6.081,224.8666294,1.24E-01,60,amb,11
posthw,36,30.49,65.39,6.539,279.5979688,1.09E-01,60,amb,5
posthw,37,32.65,65.3,6.53,278.445077,1.17E-01,60,amb,9
posthw,38,27.03,60.1,6.01,217.081801,1.25E-01,60,hw,17
posthw,39,26.64,57.93,5.793,194.4064123,1.37E-01,60,hw,17
posthw,40,29.86,61.68,6.168,234.6567736,1.27E-01,60,hw,16
posthw,41,29.31,60.76,6.076,224.312407,1.31E-01,60,hw,16
posthw,42,32.11,62.95,6.295,249.4521224,1.29E-01,60,amb,5
posthw,43,33.8,61.87,6.187,236.8319812,1.43E-01,60,hw,16
posthw,45,28.31,59.23,5.923,207.7902655,1.36E-01,60,hw,17
posthw,46,34.21,62.23,6.223,240.9902116,1.42E-01,60,amb,9
posthw,47,37.92,63.41,6.341,254.9607098,1.49E-01,60,amb,11
posthw,48,25.96,59.89,5.989,214.8141767,1.21E-01,60,amb,9
posthw,49,33.54,62.26,6.226,241.3389112,1.39E-01,60,amb,11
posthw,50,44.73,66.52,6.652,294.3450398,1.52E-01,60,amb,9
posthw,52,29.22,64.45,6.445,267.7125711,1.09E-01,60,hw,17
posthw,55,29.71,62.38,6.238,242.7370733,1.22E-01,60,hw,16
posthw,56,32.52,62.65,6.265,245.9026596,1.32E-01,60,amb,11
posthw,57,32.62,61.74,6.174,235.342236,1.39E-01,60,amb,11
posthw,58,31.74,59.49,5.949,210.5386853,1.51E-01,60,hw,12
posthw,59,27.1,60.23,6.023,218.4935342,1.24E-01,60,amb,5
posthw,60,24.48,58.75,5.875,202.7792969,1.21E-01,60,hw,16
posthw,61,82.44,82.96,8.296,570.9607183,1.44E-01,90,hw,4
posthw,62,84.92,85.41,8.541,623.0546844,1.36E-01,90,amb,20
posthw,63,92.72,85.94,8.594,634.7256486,1.46E-01,90,amb,10
posthw,64,81.07,78.28,7.828,479.6809276,1.69E-01,90,amb,10
posthw,66,74.78,84.35,8.435,600.1437129,1.25E-01,90,amb,3
posthw,68,75.82,82.56,8.256,562.7416412,1.35E-01,90,amb,3
posthw,69,95.13,87.04,8.704,659.4116977,1.44E-01,90,amb,3
posthw,70,78.57,83.52,8.352,582.6013102,1.35E-01,90,hw,19
posthw,71,82.75,82.84,8.284,568.4866503,1.46E-01,90,hw,19
posthw,72,81.31,84.28,8.428,598.6508188,1.36E-01,90,hw,4
posthw,73,85.55,85.99,8.599,635.8341458,1.35E-01,90,amb,20
posthw,74,90.02,82.73,8.273,566.2250424,1.59E-01,90,amb,3
posthw,75,79.41,83.79,8.379,588.2698239,1.35E-01,90,hw,19
posthw,76,84.54,86.61,8.661,649.6869088,1.30E-01,90,amb,3
posthw,78,79.09,85.41,8.541,623.0546844,1.27E-01,90,hw,4
posthw,79,77.95,83.89,8.389,590.3785679,1.32E-01,90,amb,10
posthw,80,78.59,82.42,8.242,559.8837085,1.40E-01,90,hw,4
posthw,81,78.58,82.85,8.285,568.6925491,1.38E-01,90,amb,10
posthw,82,76.02,80.77,8.077,526.9267525,1.44E-01,90,hw,19
posthw,83,83.72,84.79,8.479,609.5844862,1.37E-01,90,amb,20
posthw,84,82.18,86.68,8.668,651.2634536,1.26E-01,90,hw,19
posthw,85,84.96,84.41,8.441,601.4253101,1.41E-01,90,amb,20
posthw,86,81.83,86.47,8.647,646.541456,1.27E-01,90,hw,6
posthw,87,76.72,85.82,8.582,632.0705134,1.21E-01,90,amb,10
posthw,88,90.22,86.02,8.602,636.4998632,1.42E-01,90,amb,20
posthw,89,78.74,82.48,8.248,561.107349,1.40E-01,90,hw,4
final,1,4.22,31.04,3.104,29.90646886,1.41E-01,30,hw,8
final,2,7.33,39,3.9,59.319,1.24E-01,30,hw,15
final,3,11.54,44.51,4.451,88.18054585,1.31E-01,30,amb,7
final,5,7.72,39.19,3.919,60.19020056,1.28E-01,30,amb,14
final,6,11.33,43.44,4.344,81.97273958,1.38E-01,30,amb,18
final,7,7.42,37.62,3.762,53.24224673,1.39E-01,30,amb,18
final,8,10.85,43.54,4.354,82.54015386,1.31E-01,30,hw,15
final,9,5.59,34.88,3.488,42.43551027,1.32E-01,30,amb,14
final,12,11.4,43.48,4.348,82.19939219,1.39E-01,30,amb,18
final,14,7.55,38.75,3.875,58.18554688,1.30E-01,30,amb,14
final,17,5.08,33.28,3.328,36.85954355,1.38E-01,30,hw,15
final,18,10.03,41.89,4.189,73.50740327,1.36E-01,30,amb,14
final,19,5.5,32.98,3.298,35.87169959,1.53E-01,30,amb,7
final,20,9.14,41.19,4.119,69.88361716,1.31E-01,30,hw,8
final,21,4.69,35.56,3.556,44.96610362,1.04E-01,30,amb,7
final,22,9.64,41.32,4.132,70.54738797,1.37E-01,30,hw,15
final,24,10.72,41.72,4.172,72.61609645,1.48E-01,30,hw,15
final,25,7.46,37.73,3.773,53.71065092,1.39E-01,30,amb,14
final,26,9.12,41.08,4.108,69.32522771,1.32E-01,30,amb,7
final,27,6.05,36.47,3.647,48.50732102,1.25E-01,30,amb,7
final,29,5.77,35.78,3.578,45.80585655,1.26E-01,30,amb,18
final,30,8.05,39.45,3.945,61.39613363,1.31E-01,30,amb,18
final,31,33.66,65.72,6.572,283.8524612,1.19E-01,60,amb,5
final,33,29.22,61.72,6.172,235.1136004,1.24E-01,60,amb,9
final,34,33.32,66.82,6.682,298.3454466,1.12E-01,60,amb,5
final,35,29.79,61.6,6.16,233.744896,1.27E-01,60,amb,11
final,36,24.57,65.45,6.545,280.3683286,8.76E-02,60,amb,5
final,37,33.08,64.69,6.469,270.7144597,1.22E-01,60,amb,9
final,39,24.57,59.37,5.937,209.267192,1.17E-01,60,hw,17
final,40,28.3,61.78,6.178,235.7999518,1.20E-01,60,hw,16
final,41,29.22,61.27,6.127,230.0083704,1.27E-01,60,hw,16
final,42,35.02,63.34,6.334,254.1172677,1.38E-01,60,amb,5
final,43,31.76,62.41,6.241,243.0874555,1.31E-01,60,hw,16
final,46,36.85,62.54,6.254,244.6096751,1.51E-01,60,amb,9
final,47,41.78,66.04,6.604,288.0190369,1.45E-01,60,amb,11
final,48,28.33,60.19,6.019,218.0585049,1.30E-01,60,amb,9
final,49,36.47,62.73,6.273,246.8458684,1.48E-01,60,amb,11
final,50,44.37,65.41,6.541,279.8545984,1.59E-01,60,amb,9
final,52,29.49,64.57,6.457,269.210726,1.10E-01,60,hw,17
final,55,32.31,62.98,6.298,249.8089356,1.29E-01,60,hw,16
final,56,33.38,64.2,6.42,264.609288,1.26E-01,60,amb,11
final,57,32.29,62.35,6.235,242.3870279,1.33E-01,60,amb,11
final,59,32.48,61.02,6.102,227.2043332,1.43E-01,60,amb,5
final,60,23.63,59.36,5.936,209.1614659,1.13E-01,60,hw,16
final,62,84.33,85.49,8.549,624.8070931,1.35E-01,90,amb,20
final,63,78.82,86.09,8.609,638.0550105,1.24E-01,90,amb,10
final,64,70.63,79.14,7.914,495.6648679,1.42E-01,90,amb,10
final,66,78.42,83.93,8.393,591.2234745,1.33E-01,90,amb,3
final,68,76.9,82.37,8.237,558.8653681,1.38E-01,90,amb,3
final,69,81.66,87.32,8.732,665.7959992,1.23E-01,90,amb,3
final,70,77.89,84.46,8.446,602.4947005,1.29E-01,90,hw,19
final,71,83.42,83.08,8.308,573.4419541,1.45E-01,90,hw,19
final,73,85.91,86.2,8.62,640.503928,1.34E-01,90,amb,20
final,74,84.73,83.72,8.372,586.7966948,1.44E-01,90,amb,3
final,75,85.46,83.93,8.393,591.2234745,1.45E-01,90,hw,19
final,76,82.05,86.72,8.672,652.1654804,1.26E-01,90,amb,3
final,79,76.23,83.96,8.396,591.8576831,1.29E-01,90,amb,10
final,81,78.78,85.02,8.502,614.558602,1.28E-01,90,amb,10
final,82,79.39,81,8.1,531.441,1.49E-01,90,hw,19
final,83,78.19,84.73,8.473,608.2913198,1.29E-01,90,amb,20
final,84,79.32,86.26,8.626,641.8423384,1.24E-01,90,hw,19
final,85,82.61,84.09,8.409,594.6111619,1.39E-01,90,amb,20
final,87,82.87,85.72,8.572,629.8635652,1.32E-01,90,amb,10
final,88,90.16,86.72,8.672,652.1654804,1.38E-01,90,amb,20
