"","X","abalone_number","Intercept","umol.L.sec","Temp.C"
"25",25,"ab2_hw_channel3_Trial1_posthw_11_24_20_O2",186.528721680726,-0.00749215376351662,21.2263564356436
"26",26,"ab2_hw_channel3_trial5_final_12_12_20_O2",195.392772913968,-0.0105264754856614,17.5243406593407
"27",27,"ab2_hw_channel7_Trial9_prehw_10_30_20_O2",182.009918963922,-0.00772654949121182,17.63535
"28",28,"ab20_hw_channel3_Trial2_posthw_11_24_20_O2",185.917668204677,-0.00881197858817722,21.2975185185185
"29",29,"ab20_hw_channel4_trial2_final_12_11_20_O2",224.363096305813,-0.0149500784894484,17.4255294117647
"30",30,"ab20_hw_channel9_Trial3_prehw_10_29_20_O2",208.321307593461,-0.0114950726488701,17.446686746988
"31",31,"ab21_amb_channel2_Trial10_prehw_10_30_20_O2",189.546995489742,-0.00652251545922429,17.5365531914894
"32",32,"ab21_amb_channel7_trial7_final_12_12_20_O2",198.142085555511,-0.00923041942692955,17.4694752475248
"33",33,"ab21_amb_channel7_Trial9_posthw_11_25_20_O2",183.666118227825,-0.00766915058625586,17.6197052631579
"34",34,"ab22_hw_channel10_Trial7_prehw_10_30_20_O2",175.587914367347,-0.0156466122448979,17.5765172413793
"35",35,"ab22_hw_channel5_trial5_final_12_12_20_O2",202.867582351706,-0.0139451408421141,17.3374835164835
"36",36,"ab22_hw_channel5_Trial5_posthw_11_25_20_O2",205.331113682967,-0.0116556303035605,20.9152912621359
"37",37,"ab23_hw_channel3_trial1_final_12_11_20_O2",192.988393819545,-0.0068969641993227,17.3952413793103
"38",38,"ab23_hw_channel5_Trial1_posthw_11_24_20_O2",212.152973900099,-0.00595890565222756,21.0024356435644
"39",39,"ab23_hw_channel5_Trial1_prehw_10_29_20_O2",219.967973882551,-0.00787612626224472,17.3350379746835
"40",40,"ab24_hw_channel6_Trial8_prehw_10_30_20_O2",165.586367835338,-0.0133185599753314,17.5571604938272
"41",41,"ab24_hw_channel7_trial1_final_12_11_20_O2",183.019423945061,-0.0128267504383402,17.4062643678161
"42",42,"ab24_hw_channel9_Trial5_posthw_11_25_20_O2",205.875746885351,-0.0139689193766938,21.1088932038835
"43",43,"ab25_amb_channel2_Trial3_posthw_11_24_20_O2",214.254045149254,-0.0130938762071993,17.4113495145631
"44",44,"ab25_amb_channel7_Trial11_prehw_10_30_20_O2",169.730146120061,-0.00772988214676186,17.5573023255814
"45",45,"ab25_amb_channel9_trial4_final_12_11_20_O2",203.561347299825,-0.0132041087083577,17.3042168674699
"46",46,"ab26_amb_channel3_trial6_final_12_12_20_O2",196.349579577999,-0.0115503698435277,17.4394112149533
"47",47,"ab26_amb_channel4_Trial8_posthw_11_25_20_O2",219.258815091533,-0.00647343604513537,17.4163609467456
"48",48,"ab26_amb_channel6_Trial7_prehw_10_30_20_O2",169.415126452489,-0.0102033755656109,17.5559540229885
"49",49,"ab27_amb_channel1_Trial4_prehw_10_29_20_O2",209.401727939268,-0.00835325896094972,17.5675842696629
"50",50,"ab27_amb_channel8_Trial4_posthw_11_24_20_O2",222.312690815997,-0.00914267860022581,17.4824137931034
"51",51,"ab27_amb_channel9_trial7_final_12_12_20_O2",216.863310880487,-0.0106686277102062,17.3058854166667
"52",52,"ab28_hw_channel4_Trial9_prehw_10_30_20_O2",180.306066734671,-0.0107511784754224,17.5047530864198
"53",53,"ab29_amb_channel1_Trial4_posthw_11_24_20_O2",223.083465611073,-0.00935284278879014,17.4010229885057
"54",54,"ab29_amb_channel2_Trial4_prehw_10_29_20_O2",203.823066176046,-0.00745174603174601,17.5431460674157
"55",55,"ab29_amb_channel7_trial8_final_12_12_20_O2",195.478287989083,-0.00794907623010268,17.443519379845
"56",56,"ab3_amb_channel1_trial7_final_12_12_20_O2",217.042283698341,-0.0217136832579185,17.4865212765957
"57",57,"ab3_amb_channel2_Trial9_posthw_11_25_20_O2",180.19756436713,-0.0156026324359531,17.4514105263158
"58",58,"ab3_amb_channel9_Trial10_prehw_10_30_20_O2",174.754017928887,-0.0147077664126918,17.4074731182796
"59",59,"ab30_amb_channel10_trial3_final_12_11_20_O2",195.910442200391,-0.0140518942683456,17.3836049382716
"60",60,"ab30_amb_channel10_Trial6_prehw_10_30_20_O2",196.135984532428,-0.00620052036199092,17.5651529411765
"61",61,"ab30_amb_channel4_Trial7_posthw_11_25_20_O2",217.250196808818,-0.0119912248893429,17.3358849557522
"62",62,"ab31_amb_channel1_Trial8_posthw_11_25_20_O2",164.981955621801,-0.0247522493224932,17.4038757763975
"63",63,"ab31_amb_channel10_trial6_final_12_12_20_O2",165.40489525974,-0.0446272943722944,17.48725
"64",64,"ab31_amb_channel5_Trial8_prehw_10_30_20_O2",154.728930418118,-0.0293980139372822,17.4655555555556
"65",65,"ab32_hw_channel7_Trial3_prehw_10_29_20_O2",130.532596458774,-0.0258734143763213,17.6063734939759
"66",66,"ab33_amb_channel3_trial7_final_12_12_20_O2",158.128052746606,-0.0326611628959276,17.5729361702128
"67",67,"ab33_amb_channel5_Trial11_prehw_10_30_20_O2",136.61734453136,-0.0260748343904158,17.3517906976744
"68",68,"ab33_amb_channel7_Trial3_posthw_11_24_20_O2",172.480492938689,-0.0224489640591966,17.353
"69",69,"ab34_amb_channel2_trial8_final_12_12_20_O2",126.317347383597,-0.0262479401173479,17.4670406504065
"70",70,"ab34_amb_channel5_Trial7_posthw_11_25_20_O2",202.168966067107,-0.0293691437645839,17.4727079646018
"71",71,"ab34_amb_channel9_Trial5_prehw_10_29_20_O2",169.28908250469,-0.0345263133208256,17.4428974358974
"72",72,"ab35_amb_channel4_Trial4_prehw_10_29_20_O2",154.841459243243,-0.0264929274537695,17.5105505617978
"73",73,"ab35_amb_channel4_trial8_final_12_12_20_O2",153.288250880109,-0.0280466042154567,17.4763770491803
"74",74,"ab35_amb_channel6_Trial4_posthw_11_24_20_O2",171.492739000925,-0.0247453530681467,17.3702183908046
"75",75,"ab36_amb_channel3_Trial9_prehw_10_30_20_O2",118.616229285736,-0.0248365329601033,17.6057407407407
"76",76,"ab36_amb_channel4_Trial9_posthw_11_25_20_O2",154.4694647923,-0.0231671732522797,17.4193157894737
"77",77,"ab36_amb_channel6_trial6_final_12_12_20_O2",161.4175391226,-0.0388692136421529,17.4516728971963
"78",78,"ab37_amb_channel1_Trial5_prehw_10_29_20_O2",170.872507951252,-0.027369743083004,17.5423797468354
"79",79,"ab37_amb_channel3_Trial7_posthw_11_25_20_O2",188.481369911409,-0.0319329247285366,17.5027433628319
"80",80,"ab37_amb_channel6_trial3_final_12_11_20_O2",162.386216688071,-0.0377631361587469,17.3605340909091
"81",81,"ab38_hw_channel1_Trial6_posthw_11_25_20_O2",206.185615026608,-0.0206950044603033,21.1435609756098
"82",82,"ab38_hw_channel3_Trial7_prehw_10_30_20_O2",140.37659692389,-0.028942378435518,17.6188850574713
"83",83,"ab39_hw_channel1_Trial2_posthw_11_24_20_O2",190.863458889894,-0.0214622081447963,21.2389135802469
"84",84,"ab39_hw_channel8_Trial10_prehw_10_30_20_O2",168.602575049754,-0.0272136913808077,17.5111808510638
"85",85,"ab39_hw_channel9_trial1_final_12_11_20_O2",202.964654799154,-0.0215877801268498,17.3331954022989
"86",86,"ab4_hw_channel2_Trial1_prehw_10_29_20_O2",211.853863696768,-0.0126208698278465,17.4566582278481
"87",87,"ab40_hw_channel2_Trial11_prehw_10_30_20_O2",132.760255894997,-0.0298043798449612,17.4884252873563
"88",88,"ab40_hw_channel4_trial1_final_12_11_20_O2",188.009248124467,-0.0294510230179028,17.3624827586207
"89",89,"ab40_hw_channel9_Trial2_posthw_11_24_20_O2",170.6388076865,-0.0294932799758381,21.0998395061728
"90",90,"ab41_hw_channel4_Trial1_posthw_11_24_20_O2",203.094552213443,-0.0234430503933804,21.1207722772277
"91",91,"ab41_hw_channel4_Trial1_prehw_10_29_20_O2",184.197141637631,-0.0318454703832753,17.3933544303797
"92",92,"ab41_hw_channel7_trial2_final_12_11_20_O2",173.10312848597,-0.0330045266728338,17.429380952381
"93",93,"ab42_amb_channel6_Trial4_prehw_10_29_20_O2",134.504932088835,-0.0260238535414166,17.5311123595506
"94",94,"ab42_amb_channel9_trial3_final_12_11_20_O2",170.471442976399,-0.0487310882867133,17.2627037037037
"95",95,"ab42_amb_channel9_Trial4_posthw_11_24_20_O2",179.92752737013,-0.0369089490772386,17.3402068965517
"96",96,"ab43_hw_channel10_Trial5_posthw_11_25_20_O2",195.04444418565,-0.0300578976409841,21.1002254901961
"97",97,"ab43_hw_channel7_Trial6_prehw_10_30_20_O2",161.499660594374,-0.0251897621208193,17.5374534883721
"98",98,"ab43_hw_channel9_trial5_final_12_12_20_O2",177.039332971634,-0.0380812628161313,17.3435604395604
"99",99,"ab44_hw_channel4_Trial10_prehw_10_30_20_O2",132.414040464286,-0.026544137755102,17.4689574468085
"100",100,"ab45_hw_channel6_Trial9_prehw_10_30_20_O2",104.932538359908,-0.0203919594244231,17.5275875
"101",101,"ab45_hw_channel8_Trial1_posthw_11_24_20_O2",201.996600248447,-0.0183965217391304,21.1282371134021
"102",102,"ab46_amb_channel4_trial4_final_12_11_20_O2",151.569934968803,-0.0361136415201361,17.4103975903614
"103",103,"ab46_amb_channel8_Trial4_prehw_10_29_20_O2",151.502950713658,-0.0288872529644269,17.5602471910112
"104",104,"ab46_amb_channel8_Trial9_posthw_11_25_20_O2",165.257084652265,-0.0261593736430743,17.4955684210526
"105",105,"ab47_amb_channel10_trial7_final_12_12_20_O2",159.907438674193,-0.0437662179765523,17.5275052631579
"106",106,"ab47_amb_channel5_Trial7_prehw_10_30_20_O2",149.047356947738,-0.0312294993412384,17.3927356321839
"107",107,"ab47_amb_channel9_Trial7_posthw_11_25_20_O2",186.71245529614,-0.0272900925436277,17.384
"108",108,"ab48_amb_channel3_Trial8_prehw_10_30_20_O2",144.114817420252,-0.0259162507090187,17.6212222222222
"109",109,"ab48_amb_channel4_Trial4_posthw_11_24_20_O2",200.491014376372,-0.0311718642951252,17.3416551724138
"110",110,"ab48_amb_channel5_trial4_final_12_11_20_O2",167.758587139953,-0.0343886773394321,17.2969036144578
"111",111,"ab49_amb_channel1_Trial9_posthw_11_25_20_O2",123.164502571429,-0.023868237695078,17.4692
"112",112,"ab49_amb_channel10_Trial10_prehw_10_30_20_O2",137.598408631453,-0.0307464945978391,17.5499347826087
"113",113,"ab49_amb_channel4_trial7_final_12_12_20_O2",166.960656082985,-0.045750166481687,17.4754574468085
"114",114,"ab5_amb_channel10_trial8_final_12_12_20_O2",200.245781491006,-0.0103774141945935,17.4718244274809
"115",115,"ab5_amb_channel4_Trial11_prehw_10_30_20_O2",201.138741359852,-0.0108240610545791,17.5235
"116",116,"ab5_amb_channel9_Trial3_posthw_11_24_20_O2",206.592635479235,-0.012347840701498,17.3241666666667
"117",117,"ab50_amb_channel1_trial6_final_12_12_20_O2",167.77911038961,-0.0503863636363636,17.457
"118",118,"ab50_amb_channel3_Trial3_posthw_11_24_20_O2",182.363015819722,-0.0269163469017371,17.4096990291262
"119",119,"ab50_amb_channel8_Trial1_prehw_10_29_20_O2",200.165338029433,-0.0450121553073791,17.4952911392405
"120",120,"ab51_hw_channel10_Trial1_prehw_10_29_20_O2",195.446753643681,-0.0301348391540394,17.4587215189873
"121",121,"ab52_hw_channel1_Trial6_prehw_10_30_20_O2",169.127205707565,-0.0346757536482334,17.5234069767442
"122",122,"ab52_hw_channel6_trial5_final_12_12_20_O2",148.251800816697,-0.0299250064817215,17.4354725274725
"123",123,"ab52_hw_channel8_Trial5_posthw_11_25_20_O2",192.58736038139,-0.0241517860022577,21.2138446601942
"124",124,"ab53_hw_channel8_Trial6_prehw_10_30_20_O2",185.818314441219,-0.0390264231575553,17.482011627907
"125",125,"ab54_hw_channel8_Trial5_prehw_10_29_20_O2",194.43026533635,-0.0256936923076923,17.5319743589744
"126",126,"ab55_hw_channel1_Trial5_posthw_11_25_20_O2",200.561917215202,-0.0320423988637477,20.9944519230769
"127",127,"ab55_hw_channel10_trial1_final_12_11_20_O2",147.26356519889,-0.0349910391612704,17.3967816091954
"128",128,"ab55_hw_channel5_Trial9_prehw_10_30_20_O2",118.420629837914,-0.0264965045806906,17.392962962963
"129",129,"ab56_amb_channel1_Trial7_prehw_10_30_20_O2",136.701360227798,-0.0256105746993524,17.6043908045977
"130",130,"ab56_amb_channel5_trial3_final_12_11_20_O2",204.092079806122,-0.0372667448979592,17.2535227272727
"131",131,"ab56_amb_channel5_Trial8_posthw_11_25_20_O2",242.979382410117,-0.0354450163424476,17.2799875776398
"132",132,"ab57_amb_channel3_Trial3_prehw_10_29_20_O2",96.1405503397764,-0.0179819314406523,17.6109523809524
"133",133,"ab57_amb_channel4_Trial3_posthw_11_24_20_O2",195.639815845814,-0.0241429387480799,17.4623195876289
"134",134,"ab57_amb_channel9_trial8_final_12_12_20_O2",159.743700168269,-0.0351145913461538,17.3847317073171
"135",135,"ab58_hw_channel9_Trial1_posthw_11_24_20_O2",198.800528701611,-0.00886354159072684,21.0688191489362
"136",136,"ab58_hw_channel9_Trial11_prehw_10_30_20_O2",132.902372047216,-0.0211435764622974,17.3457093023256
"137",137,"ab59_amb_channel1_trial4_final_12_11_20_O2",150.105515983087,-0.0386632699083861,17.4505301204819
"138",138,"ab59_amb_channel4_Trial8_prehw_10_30_20_O2",167.558179724759,-0.0315690317866277,17.5736666666667
"139",139,"ab59_amb_channel6_Trial8_posthw_11_25_20_O2",170.0774415609,-0.0206880905600723,17.3792049689441
"140",140,"ab6_amb_channel10_Trial9_posthw_11_25_20_O2",183.519873148412,-0.0136294879089616,17.6592127659574
"141",141,"ab6_amb_channel7_Trial10_prehw_10_30_20_O2",165.959070361991,-0.0092513574660633,17.5626382978723
"142",142,"ab6_amb_channel8_trial3_final_12_11_20_O2",218.489870845411,-0.0202299143610013,17.3662247191011
"143",143,"ab60_hw_channel2_Trial2_posthw_11_24_20_O2",178.849866084082,-0.0250542384981491,21.2062962962963
"144",144,"ab60_hw_channel2_Trial3_prehw_10_29_20_O2",139.725752853758,-0.0183190292484265,17.5224588235294
"145",145,"ab60_hw_channel4_trial5_final_12_12_20_O2",190.888749786078,-0.0254356093894542,17.449967032967
"146",146,"ab61_hw_channel5_Trial10_prehw_10_30_20_O2",76.1389666722689,-0.0238038391356543,17.3422765957447
"147",147,"ab61_hw_channel6_Trial1_posthw_11_24_20_O2",117.757907776971,-0.0241632196419932,21.239125
"148",148,"ab62_amb_channel1_Trial10_prehw_10_30_20_O2",54.5436897135982,-0.0187838661528441,17.5644680851064
"149",149,"ab62_amb_channel3_trial4_final_12_11_20_O2",116.41921630473,-0.0538146625070902,17.5405180722892
"150",150,"ab62_amb_channel3_Trial9_posthw_11_25_20_O2",63.8508503622449,-0.0208238316326531,17.5027684210526
"151",151,"ab63_amb_channel2_Trial6_prehw_10_30_20_O2",97.0901058186864,-0.0410297163120567,17.5178139534884
"152",152,"ab63_amb_channel2_Trial7_posthw_11_25_20_O2",145.624225963694,-0.0371280939149764,17.5049026548673
"153",153,"ab63_amb_channel5_trial8_final_12_12_20_O2",96.8887156770188,-0.0349429011445651,17.4234672131148
"154",154,"ab64_amb_channel2_Trial7_prehw_10_30_20_O2",63.559369274678,-0.0279827860399479,17.5593563218391
"155",155,"ab64_amb_channel6_trial7_final_12_12_20_O2",156.256469679089,-0.0516210248447205,17.4718210526316
"156",156,"ab64_amb_channel8_Trial7_posthw_11_25_20_O2",160.260004756414,-0.0424931050291747,17.5244778761062
"157",157,"ab65_hw_channel4_Trial3_prehw_10_29_20_O2",27.2122221353066,-0.00924792811839323,17.53175
"158",158,"ab66_amb_channel10_Trial7_posthw_11_25_20_O2",142.212770361248,-0.0329206507648431,17.4741504424779
"159",159,"ab66_amb_channel2_trial6_final_12_12_20_O2",166.168931794041,-0.0679765180102916,17.5011121495327
"160",160,"ab66_amb_channel6_Trial5_prehw_10_29_20_O2",92.0236797514071,-0.0365342542213884,17.4407948717949
"161",161,"ab67_hw_channel1_Trial9_prehw_10_30_20_O2",60.4735144947736,-0.0176859233449478,17.538
"162",162,"ab68_amb_channel1_Trial1_prehw_10_29_20_O2",167.576359038462,-0.0563090384615385,17.4444050632911
"163",163,"ab68_amb_channel2_trial3_final_12_11_20_O2",133.283263240418,-0.0434688153310105,17.3652625
"164",164,"ab68_amb_channel5_Trial3_posthw_11_24_20_O2",150.973874386555,-0.0414154669867947,17.3993645833333
"165",165,"ab69_amb_channel1_Trial3_posthw_11_24_20_O2",114.132495634992,-0.0329276108597285,17.4519793814433
"166",166,"ab69_amb_channel2_trial7_final_12_12_20_O2",127.335092080981,-0.042773691923578,17.452914893617
"167",167,"ab69_amb_channel8_Trial11_prehw_10_30_20_O2",66.5845583403805,-0.0245047110641296,17.5092325581395
"168",168,"ab7_amb_channel1_trial8_final_12_12_20_O2",231.361809633778,-0.0129539321856103,17.44496875
"169",169,"ab7_amb_channel7_Trial7_prehw_10_30_20_O2",195.220375878332,-0.00995718386876285,17.6384482758621
"170",170,"ab7_amb_channel7_Trial8_posthw_11_25_20_O2",187.742272019662,-0.00959358033794166,17.481049689441
"171",171,"ab70_hw_channel2_Trial9_prehw_10_30_20_O2",100.26537978223,-0.0481958101045296,17.5184814814815
"172",172,"ab70_hw_channel7_trial5_final_12_12_20_O2",121.718047752081,-0.0464912920135677,17.5515164835165
"173",173,"ab70_hw_channel8_Trial2_posthw_11_24_20_O2",148.954885040816,-0.0549193265306123,21.1948641975309
"174",174,"ab71_hw_channel1_Trial1_posthw_11_24_20_O2",184.967116960384,-0.0354905018007203,21.2594574468085
"175",175,"ab71_hw_channel8_trial1_final_12_11_20_O2",107.375187921071,-0.0404056800563777,17.3925057471264
"176",176,"ab71_hw_channel9_Trial1_prehw_10_29_20_O2",154.089420066327,-0.0520809846938776,17.3229240506329
"177",177,"ab72_hw_channel4_Trial6_posthw_11_25_20_O2",204.933453285024,-0.0132014624505929,21.1159146341463
"178",178,"ab72_hw_channel5_Trial6_prehw_10_30_20_O2",86.839339200141,-0.0275467406624384,17.4157209302326
"179",179,"ab73_amb_channel1_Trial3_prehw_10_29_20_O2",25.0791096828753,-0.00674569415081043,17.5468023255814
"180",180,"ab73_amb_channel3_Trial4_posthw_11_24_20_O2",140.709371980676,-0.0422940711462451,17.4298735632184
"181",181,"ab73_amb_channel8_trial8_final_12_12_20_O2",70.1682929223901,-0.0236670066391941,17.5055040650407
"182",182,"ab74_amb_channel10_Trial5_prehw_10_29_20_O2",112.912799624765,-0.0497775797373359,17.5736025641026
"183",183,"ab74_amb_channel4_trial6_final_12_12_20_O2",175.769155363065,-0.0645045530779494,17.5023177570093
"184",184,"ab74_amb_channel5_Trial4_posthw_11_24_20_O2",150.482572378435,-0.0516541966173361,17.360632183908
"185",185,"ab75_hw_channel5_trial1_final_12_11_20_O2",174.010013495419,-0.0654528893587032,17.3028620689655
"186",186,"ab75_hw_channel6_Trial2_posthw_11_24_20_O2",130.282921358885,-0.0326335540069686,21.0806296296296
"187",187,"ab75_hw_channel9_Trial4_prehw_10_29_20_O2",74.8516440909091,-0.0248931027667984,17.470202247191
"188",188,"ab76_amb_channel2_trial4_final_12_11_20_O2",72.4279639332307,-0.0422670691191962,17.448734939759
"189",189,"ab76_amb_channel3_Trial4_prehw_10_29_20_O2",57.8268679833488,-0.0241055411655874,17.5999550561798
"190",190,"ab76_amb_channel7_Trial4_posthw_11_24_20_O2",151.372944936575,-0.0471063883016208,17.4530459770115
"191",191,"ab77_hw_channel3_Trial1_prehw_10_29_20_O2",147.112283404223,-0.0598497692307693,17.502582278481
"192",192,"ab78_hw_channel1_Trial11_prehw_10_30_20_O2",78.1421266067653,-0.0301733298097251,17.511908045977
"193",193,"ab78_hw_channel7_Trial1_posthw_11_24_20_O2",173.144674620433,-0.0110116977394673,21.2625625
"194",194,"ab79_amb_channel3_Trial10_prehw_10_30_20_O2",74.2032204540816,-0.0239760663265306,17.5402340425532
"195",195,"ab79_amb_channel6_Trial9_posthw_11_25_20_O2",84.9232063160371,-0.0266082012592271,17.5794210526316
"196",196,"ab79_amb_channel7_trial3_final_12_11_20_O2",163.618047222985,-0.0622462614468864,17.5136136363636
"197",197,"ab8_hw_channel10_trial2_final_12_11_20_O2",198.005823450555,-0.0145617900581703,17.3983764705882
"198",198,"ab8_hw_channel7_Trial2_posthw_11_24_20_O2",179.107415968952,-0.0111615192752813,21.1998765432099
"199",199,"ab8_hw_channel8_Trial3_prehw_10_29_20_O2",199.951298571429,-0.0132751948051948,17.598734939759
"200",200,"ab80_hw_channel10_Trial2_posthw_11_24_20_O2",126.224585017422,-0.0297174216027875,21.223575
"201",201,"ab80_hw_channel5_Trial3_prehw_10_29_20_O2",67.583356730347,-0.0212615612648221,17.406619047619
"202",202,"ab81_amb_channel10_Trial8_prehw_10_30_20_O2",77.6447246549443,-0.0266250141803744,17.5767654320988
"203",203,"ab81_amb_channel8_trial4_final_12_11_20_O2",178.424431871036,-0.0682915810933253,17.4511927710843
"204",204,"ab81_amb_channel9_Trial8_posthw_11_25_20_O2",217.805510394089,-0.0564041116134692,17.3021366459627
"205",205,"ab82_hw_channel2_Trial5_posthw_11_25_20_O2",144.696686316723,-0.0330917352039994,21.0424134615385
"206",206,"ab82_hw_channel4_Trial7_prehw_10_30_20_O2",52.1829729688186,-0.017779907773386,17.5718390804598
"207",207,"ab82_hw_channel8_trial5_final_12_12_20_O2",118.697384510204,-0.0466563469387755,17.4543736263736
"208",208,"ab83_amb_channel3_trial8_final_12_12_20_O2",63.0163378295686,-0.0191074903679081,17.5325901639344
"209",209,"ab83_amb_channel5_Trial9_posthw_11_25_20_O2",84.4758914206108,-0.03010557967868,17.3024842105263
"210",210,"ab83_amb_channel9_Trial9_prehw_10_30_20_O2",49.626347294686,-0.0165453623188406,17.4344567901235
"211",211,"ab84_hw_channel2_trial1_final_12_11_20_O2",122.51857457012,-0.0582331324876673,17.4081034482759
"212",212,"ab84_hw_channel2_Trial6_posthw_11_25_20_O2",159.980870147992,-0.0484888231148696,21.1197317073171
"213",213,"ab84_hw_channel9_Trial7_prehw_10_30_20_O2",60.5621875669741,-0.0202767193675889,17.4804827586207
"214",214,"ab85_amb_channel10_Trial11_prehw_10_30_20_O2",79.9682849323314,-0.030165898131719,17.3402
"215",215,"ab85_amb_channel5_trial7_final_12_12_20_O2",116.10973923596,-0.0450971206035605,17.3934842105263
"216",216,"ab85_amb_channel6_Trial3_posthw_11_24_20_O2",106.676984057623,-0.041278175270108,17.5156354166667
"217",217,"ab86_hw_channel4_Trial5_prehw_10_29_20_O2",88.5050695497186,-0.029481181988743,17.5403717948718
"218",218,"ab86_hw_channel6_Trial5_posthw_11_25_20_O2",179.728638448944,-0.00789740376904569,21.0499514563107
"219",219,"ab87_amb_channel10_Trial8_posthw_11_25_20_O2",121.284732220515,-0.0356463239552733,17.313248447205
"220",220,"ab87_amb_channel2_Trial8_prehw_10_30_20_O2",83.8858268728223,-0.0302920296167248,17.5671111111111
"221",221,"ab87_amb_channel5_trial6_final_12_12_20_O2",160.556381271838,-0.0560541642843529,17.3558878504673
"222",222,"ab88_amb_channel1_trial3_final_12_11_20_O2",137.345056747225,-0.0696232365864941,17.377725
"223",223,"ab88_amb_channel2_Trial8_posthw_11_25_20_O2",200.308544719746,-0.0661127280734533,17.3722732919255
"224",224,"ab88_amb_channel9_Trial8_prehw_10_30_20_O2",55.0267089890069,-0.0235898468519569,17.462024691358
"225",225,"ab89_hw_channel4_Trial5_posthw_11_25_20_O2",205.967196146617,-0.0234602119522946,21.1618058252427
"226",226,"ab89_hw_channel7_Trial4_prehw_10_29_20_O2",147.438441783048,-0.046721976284585,17.6023483146067
"227",227,"ab9_amb_channel6_Trial1_prehw_10_29_20_O2",187.240041519598,-0.00542628549647415,17.4701265822785
"228",228,"ab9_amb_channel8_Trial3_posthw_11_24_20_O2",226.420094251885,-0.00831069230769232,17.4970891089109
"229",229,"ab9_amb_channel8_trial6_final_12_12_20_O2",231.494059615062,-0.0101970730683091,17.387953271028
"230",230,"ab90_hw_channel4_Trial6_prehw_10_30_20_O2",89.9246674202129,-0.0317662044072949,17.5182209302326
"231",231,"blank_amb_channel10_Trial3_posthw_11_24_20_O2",212.681926935248,-0.00119324488802335,17.4385
"232",232,"blank_amb_channel10_trial4_final_12_11_20_O2",206.816536056049,-0.000315276828434718,17.4230843373494
"233",233,"blank_amb_channel10_Trial4_posthw_11_24_20_O2",209.466114208861,-0.000685481715893088,17.4348255813953
"234",234,"blank_amb_channel10_Trial9_prehw_10_30_20_O2",190.712420399889,-0.000993792651910038,17.5305925925926
"235",235,"blank_amb_channel2_Trial5_prehw_10_29_20_O2",221.999700933698,-0.000545144224196881,17.5546582278481
"236",236,"blank_amb_channel4_trial3_final_12_11_20_O2",228.819595188162,-0.000304504932407766,17.3450344827586
